csv_line,record_id,abstract_id,output_file,title,status,message
2,70007.0,rw70007,rw70007.xml,MicroRNA-142-5p Overexpression Inhibits Cell Growth and Induces Apoptosis by Regulating FOXO in Hepatocellular Carcinoma Cells,created,abstract-preservation check passed
3,70006.0,rw70006,rw70006.xml,"Long Noncoding RNA CAT104 Promotes Cell Viability, Migration, and Invasion in Gastric Carcinoma Cells Through Activation of MicroRNA-381-Inhibiting Zinc Finger E-box-Binding Homeobox 1 (ZEB1) Expression",created,abstract-preservation check passed
4,66532.0,rw66532,rw66532.xml,"Propofol suppresses growth, migration and invasion of A549 cells by down-regulation of miR-372",created,abstract-preservation check passed
5,66531.0,rw66531,rw66531.xml,"Curcumin inhibits proliferation, migration, invasion and promotes apoptosis of retinoblastoma cell lines through modulation of miR-99a and JAK/STAT pathway",created,abstract-preservation check passed
6,60822.0,rw60822,rw60822.xml,Overexpression of lncRNA ANRIL up-regulates VEGF expression and promotes angiogenesis of diabetes mellitus combined with cerebral infarction by activating NF-κB signaling pathway in a rat model,created,abstract-preservation check passed
7,59728.0,rw59728,rw59728.xml,Matrine reverses the drug resistance of K562/ADM cells to ADM and VCR via promoting autophagy,created,abstract-preservation check passed
8,58882.0,rw58882,rw58882.xml,MEK inhibitors induce apoptosis via FoxO3a-dependent PUMA induction in colorectal cancer cells,created,abstract-preservation check passed
9,57764.0,rw57764,rw57764.xml,"MCCK1 enhances the anticancer effect of temozolomide in attenuating the invasion, migration and epithelial-mesenchymal transition of glioblastoma cells in vitro and in vivo",created,abstract-preservation check passed
10,57763.0,rw57763,rw57763.xml,"Puerarin 6″-O-xyloside suppressed HCC via regulating proliferation, stemness, and apoptosis with inhibited PI3K/AKT/mTOR",created,abstract-preservation check passed
11,57762.0,rw57762,rw57762.xml,Long noncoding RNA CASC9 promotes the proliferation and metastasis of papillary thyroid cancer via sponging miR-488-3p,created,abstract-preservation check passed
12,56270.0,rw56270,rw56270.xml,MicroRNA-138 acts as a tumor suppressor in non small cell lung cancer via targeting YAP1,created,abstract-preservation check passed
13,55931.0,rw55931,rw55931.xml,G-protein-signaling modulator 2 expression and role in a CD133+ pancreatic cancer stem cell subset,created,abstract-preservation check passed
14,55753.0,rw55753,rw55753.xml,"Transcription elongation factor A-like 7, regulated by miR-758-3p inhibits the progression of melanoma through decreasing the expression levels of c-Myc and AKT1",created,abstract-preservation check passed
15,55593.0,rw55593,rw55593.xml,CUL4B promotes bladder cancer metastasis and induces epithelial-to-mesenchymal transition by activating the Wnt/β-catenin signaling pathway,created,abstract-preservation check passed
16,55592.0,rw55592,rw55592.xml,IGF-1 induces the epithelial-mesenchymal transition via Stat5 in hepatocellular carcinoma,created,abstract-preservation check passed
17,55437.0,rw55437,rw55437.xml,Long Noncoding RNA UCA1 Targets miR-582-5p and Contributes to the Progression and Drug Resistance of Bladder Cancer Cells Through ATG7-Mediated Autophagy Inhibition,created,abstract-preservation check passed
18,54273.0,rw54273,rw54273.xml,"lncRNA ABHD11-AS1, regulated by the EGFR pathway, contributes to the ovarian cancer tumorigenesis by epigenetically suppressing TIMP2",created,abstract-preservation check passed
19,53846.0,rw53846,rw53846.xml,Long Noncoding RNA NEAT1 Promotes Cell Proliferation and Invasion and Suppresses Apoptosis in Hepatocellular Carcinoma by Regulating miRNA-22-3p/akt2 in vitro and in vivo,created,abstract-preservation check passed
20,53802.0,rw53802,rw53802.xml,MCM3AP-AS1/miR-876-5p/WNT5A axis regulates the proliferation of prostate cancer,created,abstract-preservation check passed
21,53799.0,rw53799,rw53799.xml,LINC01224 accelerates malignant transformation via MiR-193a-5p/CDK8 axis in gastric cancer,created,abstract-preservation check passed
22,53798.0,rw53798,rw53798.xml,"Long noncoding RNA UCA1 promotes cell growth, migration, and invasion by targeting miR-143-3p in oral squamous cell carcinoma",created,abstract-preservation check passed
23,53759.0,rw53759,rw53759.xml,"miRNA-99b-5p Targets FZD8 to Inhibit Non-Small Cell Lung Cancer Proliferation, Migration and Invasion",created,abstract-preservation check passed
24,53114.0,rw53114,rw53114.xml,TNFα Promotes Glioblastoma A172 Cell Mitochondrial Apoptosis via Augmenting Mitochondrial Fission and Repression of MAPK-ERK-YAP Signaling Pathways,created,abstract-preservation check passed
25,52721.0,rw52721,rw52721.xml,The efficacy and adverse effects of anlotinib in the treatment of high-grade glioma: a retrospective analysis,created,abstract-preservation check passed
