finding_id,record_id,source_file,detector_type,category,matched_text,expected_term,evidence_snippet,section_or_field,severity,confidence,validation_status,validation_reason,validated_by,rule_id,template_cluster_id,cluster_size,similar_record_ids,similarity_score,cluster_severity,shared_skeleton_excerpt,metadata_context,template_pattern_type,original_text_similarity,masked_skeleton_similarity,ngram_similarity,weighted_section_similarity,section_similarities,variable_substitutions,cluster_cohesion,cluster_edge_density,supporting_connections,review_explanation,exclusion_reason
TPL-FND-00008,rw24026,rw24026.xml,template_cluster,template_cluster,masked_near_duplicate,,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",cross_document,candidate,0.933,,,,TPL-0002,TPL-0002,4,rw24065 | rw35051 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",
TPL-FND-00009,rw24065,rw24065.xml,template_cluster,template_cluster,masked_near_duplicate,,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",cross_document,candidate,0.933,,,,TPL-0002,TPL-0002,4,rw24026 | rw35051 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biochemistry; year=2017; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",
TPL-FND-00012,rw24695,rw24695.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24695 this article was withdrawn by the publishers in october <num>.,cross_document,candidate,0.909,,,,TPL-0003,TPL-0003,4,rw24696 | rw24698 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00013,rw24696,rw24696.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24695 this article was withdrawn by the publishers in october <num>.,cross_document,candidate,0.909,,,,TPL-0003,TPL-0003,4,rw24695 | rw24698 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00014,rw24698,rw24698.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24695 this article was withdrawn by the publishers in october <num>.,cross_document,candidate,0.909,,,,TPL-0003,TPL-0003,4,rw24695 | rw24696 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00015,rw24699,rw24699.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24695 this article was withdrawn by the publishers in october <num>.,cross_document,candidate,0.909,,,,TPL-0003,TPL-0003,4,rw24695 | rw24696 | rw24698,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00016,rw24700,rw24700.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24700 this article was withdrawn by the publisher in november <num>,cross_document,candidate,0.909,,,,TPL-0004,TPL-0004,4,rw26870 | rw26871 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00017,rw26870,rw26870.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24700 this article was withdrawn by the publisher in november <num>,cross_document,candidate,0.909,,,,TPL-0004,TPL-0004,4,rw24700 | rw26871 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00018,rw26871,rw26871.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24700 this article was withdrawn by the publisher in november <num>,cross_document,candidate,0.909,,,,TPL-0004,TPL-0004,4,rw24700 | rw26870 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=4; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00019,rw26872,rw26872.xml,template_cluster,template_cluster,masked_near_duplicate,,rw24700 this article was withdrawn by the publisher in november <num>,cross_document,candidate,0.909,,,,TPL-0004,TPL-0004,4,rw24700 | rw26870 | rw26871,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=4; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",
TPL-FND-00020,rw32798,rw32798.xml,template_cluster,template_cluster,reordered_or_partial_template,,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,cross_document,candidate,0.783,,,,TPL-0005,TPL-0005,2,rw32802,0.783,candidate,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2015; authors=4; affiliations=1; schema=article,reordered_or_partial_template,0.693,0.71,0.783,0.0,,number: 2015 | 30 | 8 | 330 -> 1 | 2015 | 30 | 7,0.783,1.0,1,"Reordered Or Partial Template candidate; masked=0.710, original=0.693, ngram=0.783, weighted_sections=0.000, median_cluster_similarity=0.783, edge_density=1.000.",
TPL-FND-00021,rw32802,rw32802.xml,template_cluster,template_cluster,reordered_or_partial_template,,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,cross_document,candidate,0.783,,,,TPL-0005,TPL-0005,2,rw32798,0.783,candidate,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2015; authors=10; affiliations=1; schema=article,reordered_or_partial_template,0.693,0.71,0.783,0.0,,number: 1 | 2015 | 30 | 7 -> 2015 | 30 | 8 | 330,0.783,1.0,1,"Reordered Or Partial Template candidate; masked=0.710, original=0.693, ngram=0.783, weighted_sections=0.000, median_cluster_similarity=0.783, edge_density=1.000.",
TPL-FND-00010,rw35051,rw35051.xml,template_cluster,template_cluster,masked_near_duplicate,,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",cross_document,candidate,0.933,,,,TPL-0002,TPL-0002,4,rw24026 | rw24065 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=11; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",
TPL-FND-00011,rw35486,rw35486.xml,template_cluster,template_cluster,reordered_or_partial_template,,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",cross_document,candidate,0.909,,,,TPL-0002,TPL-0002,4,rw24026 | rw24065 | rw35051,0.909,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=4; affiliations=1; schema=article,reordered_or_partial_template,0.8,0.848,0.909,0.0,,gene: CBM-220951 -> none; number: 10.3233 | 220951 -> none,0.921,1.0,3,"Reordered Or Partial Template candidate; masked=0.848, original=0.800, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",
TPL-FND-00001,rw37672,rw37672.xml,template_cluster,template_cluster,masked_near_duplicate,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw39495 | rw39501 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2020; authors=12; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM219902 -> CBM229007,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
TPL-FND-00002,rw39495,rw39495.xml,template_cluster,template_cluster,masked_near_duplicate,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw37672 | rw39501 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229007 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
TPL-FND-00003,rw39501,rw39501.xml,template_cluster,template_cluster,masked_near_duplicate,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw37672 | rw39495 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2017; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229006 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
TPL-FND-00004,rw39502,rw39502.xml,template_cluster,template_cluster,masked_near_duplicate,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw37672 | rw39495 | rw39501 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=8; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229005 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
TPL-FND-00005,rw41207,rw41207.xml,template_cluster,template_cluster,entity_value_substitution,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw37672 | rw39495 | rw39501 | rw39502 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2017; authors=5; affiliations=1; schema=article,entity_value_substitution,0.906,0.952,0.941,0.0,,gene: CBM-229010 -> CBM219902; number: 10.3233 | 229010 -> 10.3233,0.952,1.0,6,"Entity Value Substitution candidate; masked=0.952, original=0.906, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
TPL-FND-00006,rw41208,rw41208.xml,template_cluster,template_cluster,entity_value_substitution,,the retraction notice is available at <url>,cross_document,candidate,0.952,,,,TPL-0001,TPL-0001,7,rw37672 | rw39495 | rw39501 | rw39502 | rw41207 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2019; authors=6; affiliations=1; schema=article,entity_value_substitution,0.906,0.952,0.941,0.0,,gene: CBM-229009 -> CBM219902; number: 10.3233 | 229009 -> 10.3233,0.952,1.0,6,"Entity Value Substitution candidate; masked=0.952, original=0.906, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",
