detector_type,rule_id,category,pattern,matched_phrase,expected_term,severity,confidence,retrieved_papers,source
llm_response_trace,LLM-001,ai_self_identification,\bas an ai language model\b,,,high,0.99,,built-in
llm_response_trace,LLM-002,ai_self_identification,\bi am an ai model\b,,,high,0.98,,built-in
llm_response_trace,LLM-003,response_preamble,"\bcertainly,?\s+here is\b",,,medium,0.9,,built-in
llm_response_trace,LLM-004,response_preamble,\bhere is the revised\b,,,medium,0.9,,built-in
llm_response_trace,LLM-005,response_preamble,\bbelow is the rewritten\b,,,medium,0.9,,built-in
llm_response_trace,LLM-006,capability_refusal,\bi cannot access real[-\s]?time data\b,,,medium,0.88,,built-in
llm_response_trace,LLM-007,capability_refusal,\bi cannot provide\b,,,medium,0.85,,built-in
llm_response_trace,LLM-008,conversation_label,(?m)(?:^|[.\n\r]\s+)\s*user\s*:,,,medium,0.75,,built-in
llm_response_trace,LLM-009,conversation_label,(?m)(?:^|[.\n\r]\s+)\s*assistant\s*:,,,medium,0.75,,built-in
llm_response_trace,LLM-010,conversation_label,(?m)(?:^|[.\n\r]\s+)\s*system\s*:,,,medium,0.75,,built-in
llm_response_trace,LLM-011,conversation_label,(?m)(?:^|[.\n\r]\s+)\s*human\s*:,,,medium,0.75,,built-in
llm_response_trace,LLM-012,prompt_leakage,\brewrite this abstract\b,,,medium,0.9,,built-in
llm_response_trace,LLM-013,prompt_leakage,\bimprove grammar\b,,,medium,0.9,,built-in
llm_response_trace,LLM-014,prompt_leakage,\bsummarize the following\b,,,medium,0.9,,built-in
llm_response_trace,LLM-015,prompt_leakage,\bdo not highlight negatives\b,,,medium,0.9,,built-in
llm_response_trace,LLM-016,prompt_leakage,\bpositive review only\b,,,medium,0.9,,built-in
llm_response_trace,LLM-017,interface_residue,\bregenerate response\b,,,low,0.55,,built-in
llm_response_trace,LLM-018,interface_residue,\bcopy response\b,,,low,0.55,,built-in
llm_response_trace,LLM-019,interface_residue,\bnew chat\b,,,low,0.55,,built-in
llm_response_trace,LLM-020,markdown_residue,"(?m)(?:^|\n)\s*(?:#{3,}|-{3,}|\*{3,})\s*(?:$|\n)",,,low,0.4,,built-in
tortured_phrase,TP-00001,tortured_phrase,"""surface region"" AND ""surface area""",surface region,surface area,medium,0.87,46990,🤷_tortured.csv
tortured_phrase,TP-00002,tortured_phrase,"""loss characteristic""",loss characteristic,loss function,medium,0.87,45294,🤷_tortured.csv
tortured_phrase,TP-00003,tortured_phrase,"""grouping methods""",grouping methods,classification methods,medium,0.87,33725,🤷_tortured.csv
tortured_phrase,TP-00004,tortured_phrase,"""component extraction""",component extraction,feature extraction,medium,0.87,26939,🤷_tortured.csv
tortured_phrase,TP-00005,tortured_phrase,"""information mining""",information mining,data mining,medium,0.87,24530,🤷_tortured.csv
tortured_phrase,TP-00006,tortured_phrase,"""malignant growth"" AND ""cancer""",malignant growth,cancer,medium,0.87,22527,🤷_tortured.csv
tortured_phrase,TP-00007,tortured_phrase,"""neural organization""",neural organization,neural network,medium,0.87,16753,🤷_tortured.csv
tortured_phrase,TP-00009,tortured_phrase,"""test arrangement""",test arrangement,test set,medium,0.87,13682,🤷_tortured.csv
tortured_phrase,TP-00010,tortured_phrase,"""feedback processing""",feedback processing,back propagation (BP),medium,0.87,13210,🤷_tortured.csv
tortured_phrase,TP-00011,tortured_phrase,"""cadence design""",cadence design,rythm pattern (?),medium,0.87,11698,🤷_tortured.csv
tortured_phrase,TP-00012,tortured_phrase,"""brain organization"" AND ""neural network""",brain organization,neural network,medium,0.87,11217,🤷_tortured.csv
tortured_phrase,TP-00013,tortured_phrase,"""business knowledge"" AND business intelligence",business knowledge,business intelligence (BI),medium,0.87,10974,🤷_tortured.csv
tortured_phrase,TP-00014,tortured_phrase,"""image acknowledgment""",image acknowledgment,image recognition,medium,0.87,10973,🤷_tortured.csv
tortured_phrase,TP-00015,tortured_phrase,"""professional system""",professional system,expert system,medium,0.87,10514,🤷_tortured.csv
tortured_phrase,TP-00016,tortured_phrase,"""estimation coefficient""",estimation coefficient,approximation coefficient,medium,0.87,9969,🤷_tortured.csv
tortured_phrase,TP-00017,tortured_phrase,"""degree of displacement""",degree of displacement,shift,medium,0.87,9486,🤷_tortured.csv
tortured_phrase,TP-00018,tortured_phrase,"""picture recognition""",picture recognition,image recognition,medium,0.87,9327,🤷_tortured.csv
tortured_phrase,TP-00019,tortured_phrase,"""limited rationality""",limited rationality,bounded rationality,medium,0.87,9215,🤷_tortured.csv
tortured_phrase,TP-00020,tortured_phrase,"""non straight""",non straight,nonlinear,medium,0.87,9035,🤷_tortured.csv
tortured_phrase,TP-00021,tortured_phrase,"""into the combination""",into the combination,into (reaction) mixture,medium,0.87,8857,🤷_tortured.csv
tortured_phrase,TP-00022,tortured_phrase,"""huge information""",huge information,big data,medium,0.87,8655,🤷_tortured.csv
tortured_phrase,TP-00023,tortured_phrase,"""information foci""",information foci,data points,medium,0.87,8613,🤷_tortured.csv
tortured_phrase,TP-00024,tortured_phrase,"""illness conclusion""",illness conclusion,disease diagnosis,medium,0.87,8278,🤷_tortured.csv
tortured_phrase,TP-00025,tortured_phrase,"""include choice""",include choice,feature selection,medium,0.87,8022,🤷_tortured.csv
tortured_phrase,TP-00026,tortured_phrase,"""outcomes likewise""",outcomes likewise,results similarity,medium,0.87,7569,🤷_tortured.csv
tortured_phrase,TP-00027,tortured_phrase,"""speculative design""",speculative design,predicted structure,medium,0.87,7511,🤷_tortured.csv
tortured_phrase,TP-00028,tortured_phrase,"""layer yields"" AND ""neural network""",layer yields,[neural network] layer outputs,medium,0.87,7123,🤷_tortured.csv
tortured_phrase,TP-00029,tortured_phrase,"""image acknowledgement""",image acknowledgement,image recognition,medium,0.87,7110,🤷_tortured.csv
tortured_phrase,TP-00030,tortured_phrase,"""magnetic cell separation"" NOT ""with MACS""",magnetic cell separation,Magnetic-activated cell sorting (MACS),medium,0.87,6429,🤷_tortured.csv
tortured_phrase,TP-00031,tortured_phrase,"""gatherings clustering""~10",gatherings clustering,clustering,medium,0.87,6382,🤷_tortured.csv
tortured_phrase,TP-00033,tortured_phrase,"""atomic composition"" AND ""molecular structure""",atomic composition,molecular structure,medium,0.87,6292,🤷_tortured.csv
tortured_phrase,TP-00034,tortured_phrase,"""efficacious approach"" AND ""effective""",efficacious approach,effective approach,medium,0.87,6284,🤷_tortured.csv
tortured_phrase,TP-00035,tortured_phrase,"""transfer sensor""",transfer sensor,relay sensor,medium,0.87,6239,🤷_tortured.csv
tortured_phrase,TP-00036,tortured_phrase,"""selection making""",selection making,decision making,medium,0.87,6228,🤷_tortured.csv
tortured_phrase,TP-00037,tortured_phrase,"""K-closest neighbors""",K-closest neighbors,K-nearest neighbors,medium,0.87,6197,🤷_tortured.csv
tortured_phrase,TP-00038,tortured_phrase,"""discourse knowledge""",discourse knowledge,speech data,medium,0.87,6173,🤷_tortured.csv
tortured_phrase,TP-00039,tortured_phrase,"""vital determinant""",vital determinant,significant predictor,medium,0.87,6167,🤷_tortured.csv
tortured_phrase,TP-00040,tortured_phrase,"""sound just""",sound just,audio-only,medium,0.87,6162,🤷_tortured.csv
tortured_phrase,TP-00041,tortured_phrase,"""creation innovations""",creation innovations,production technologies,medium,0.87,6108,🤷_tortured.csv
tortured_phrase,TP-00042,tortured_phrase,"""combined learning""",combined learning,federated learning,medium,0.87,6025,🤷_tortured.csv
tortured_phrase,TP-00043,tortured_phrase,"""in the presence of N2""",in the presence of N2,under nitrogen,medium,0.87,5718,🤷_tortured.csv
tortured_phrase,TP-00044,tortured_phrase,"""data gain""",data gain,Information Gain (IG),medium,0.87,5552,🤷_tortured.csv
tortured_phrase,TP-00045,tortured_phrase,"""market rivalry""",market rivalry,market competition,medium,0.87,5524,🤷_tortured.csv
tortured_phrase,TP-00046,tortured_phrase,"""discourse data""",discourse data,speech data,medium,0.87,5513,🤷_tortured.csv
tortured_phrase,TP-00047,tortured_phrase,"""example acknowledgment""",example acknowledgment,pattern recognition,medium,0.87,5405,🤷_tortured.csv
tortured_phrase,TP-00048,tortured_phrase,"""feature choice""",feature choice,feature selection,medium,0.87,5241,🤷_tortured.csv
tortured_phrase,TP-00049,tortured_phrase,"""objective language""",objective language,target language,medium,0.87,5214,🤷_tortured.csv
tortured_phrase,TP-00050,tortured_phrase,"""corvus corone"" NOT ""corvus corone module for a secured two way""",corvus corone,Crow search algorithm ?,medium,0.87,5207,🤷_tortured.csv
tortured_phrase,TP-00051,tortured_phrase,"""characteristic extraction"" AND ""feature extraction""",characteristic extraction,feature extraction,medium,0.87,5164,🤷_tortured.csv
tortured_phrase,TP-00052,tortured_phrase,"""device learning"" AND ""machine learning""",device learning,machine learning,medium,0.87,5007,🤷_tortured.csv
tortured_phrase,TP-00053,tortured_phrase,"""information picture""",information picture,input image,medium,0.87,4737,🤷_tortured.csv
tortured_phrase,TP-00054,tortured_phrase,"""profound learning"" AND ""deep learning""",profound learning,deep learning,high,0.98,4716,🤷_tortured.csv
tortured_phrase,TP-00055,tortured_phrase,"""resistant reaction""",resistant reaction,immune reaction,medium,0.87,4708,🤷_tortured.csv
tortured_phrase,TP-00056,tortured_phrase,"""preparation information""",preparation information,training data,medium,0.87,4636,🤷_tortured.csv
tortured_phrase,TP-00057,tortured_phrase,"""section transitions""",section transitions,phase transitions,medium,0.87,4577,🤷_tortured.csv
tortured_phrase,TP-00058,tortured_phrase,"""message-just""",message-just,text-only,medium,0.87,4500,🤷_tortured.csv
tortured_phrase,TP-00059,tortured_phrase,"""wise structure""",wise structure,intelligent system,medium,0.87,4491,🤷_tortured.csv
tortured_phrase,TP-00060,tortured_phrase,"""facial expression processing""",facial expression processing,facial expression recognition (FER),medium,0.87,4385,🤷_tortured.csv
