template_cluster_id,cluster_size,record_id,source_file,similar_record_ids,similarity_score,cluster_severity,shared_skeleton_excerpt,metadata_context,template_pattern_type,original_text_similarity,masked_skeleton_similarity,ngram_similarity,weighted_section_similarity,section_similarities,variable_substitutions,cluster_cohesion,cluster_edge_density,supporting_connections,review_explanation,exclusion_reason,title,journal,publication_year,article_type
TPL-0001,4,synT001,synT001.xml,synT002 | synT003 | synT004,0.929,candidate,"the primary endpoint was real-world progression-free survival (rwpfs); secondary endpoints included objective response rate (orr), overall survival (os), treatment duration, and grade <num> or higher adverse events.",journal=Journal of Clinical Oncology; type=Breast Cancer—Metastatic; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.82,0.903,0.746,0.902,background=0.848; conclusions=0.863; methods=0.937; results=0.929,percent: 98% | 47.2% | 24.1% | 7.0% -> 64% | 61.8% | 18.7% | 3.8%; gene: HER2- | HER2- | HER2- -> none; drug: trastuzumab | trastuzumab | trastuzumab -> osimertinib | osimertinib | osimertinib; number: 2021 | 2025 | 3 | 286 -> 2020 | 2025 | 3 | 341,0.925,1.0,3,"Shared Section candidate; masked=0.903, original=0.820, ngram=0.746, weighted_sections=0.902, median_cluster_similarity=0.925, edge_density=1.000.",,Real-world effectiveness of trastuzumab deruxtecan in HER2-low metastatic breast cancer.,Journal of Clinical Oncology,2026,Breast Cancer—Metastatic
TPL-0001,4,synT002,synT002.xml,synT001 | synT003 | synT004,0.933,candidate,"the primary endpoint was real-world progression-free survival (rwpfs); secondary endpoints included objective response rate (orr), overall survival (os), treatment duration, and grade <num> or higher adverse events.",journal=Journal of Clinical Oncology; type=Lung Cancer—Non-Small Cell Metastatic; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.822,0.885,0.742,0.888,background=0.794; conclusions=0.843; methods=0.912; results=0.933,percent: 64% | 61.8% | 18.7% | 3.8% -> 0% | 28.4% | 21.2% | 8.1%; drug: osimertinib | osimertinib | osimertinib -> none; number: 2020 | 2025 | 3 | 341 -> 177 | 177 | 2022 | 2025,0.925,1.0,3,"Shared Section candidate; masked=0.885, original=0.822, ngram=0.742, weighted_sections=0.888, median_cluster_similarity=0.925, edge_density=1.000.",,Real-world effectiveness of osimertinib in EGFR-mutated metastatic non-small cell lung cancer.,Journal of Clinical Oncology,2026,Lung Cancer—Non-Small Cell Metastatic
TPL-0001,4,synT003,synT003.xml,synT001 | synT002 | synT004,0.928,candidate,"the primary endpoint was real-world progression-free survival (rwpfs); secondary endpoints included objective response rate (orr), overall survival (os), treatment duration, and grade <num> or higher adverse events.",journal=Journal of Clinical Oncology; type=Gastrointestinal Cancer—Colorectal; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.808,0.886,0.742,0.884,background=0.824; conclusions=0.819; methods=0.925; results=0.928,percent: 46% | 32.6% | 29.9% | 14.7% -> 64% | 61.8% | 18.7% | 3.8%; drug: cetuximab | cetuximab | cetuximab -> osimertinib | osimertinib | osimertinib; number: 2019 | 2024 | 3 | 224 -> 2020 | 2025 | 3 | 341,0.925,1.0,3,"Shared Section candidate; masked=0.886, original=0.808, ngram=0.742, weighted_sections=0.884, median_cluster_similarity=0.925, edge_density=1.000.",,Real-world effectiveness of cetuximab plus irinotecan in RAS wild-type metastatic colorectal cancer.,Journal of Clinical Oncology,2026,Gastrointestinal Cancer—Colorectal
TPL-0001,4,synT004,synT004.xml,synT001 | synT002 | synT003,0.933,candidate,"the primary endpoint was real-world progression-free survival (rwpfs); secondary endpoints included objective response rate (orr), overall survival (os), treatment duration, and grade <num> or higher adverse events.",journal=Journal of Clinical Oncology; type=Genitourinary Cancer—Prostate; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.822,0.885,0.742,0.888,background=0.794; conclusions=0.843; methods=0.912; results=0.933,percent: 0% | 28.4% | 21.2% | 8.1% -> 64% | 61.8% | 18.7% | 3.8%; drug: none -> osimertinib | osimertinib | osimertinib; number: 177 | 177 | 2022 | 2025 -> 2020 | 2025 | 3 | 341,0.925,1.0,3,"Shared Section candidate; masked=0.885, original=0.822, ngram=0.742, weighted_sections=0.888, median_cluster_similarity=0.925, edge_density=1.000.",,Real-world effectiveness of lutetium-177 PSMA therapy in metastatic castration-resistant prostate cancer.,Journal of Clinical Oncology,2026,Genitourinary Cancer—Prostate
TPL-0002,4,synT005,synT005.xml,synT006 | synT007 | synT008,0.923,candidate,we examined inpatient outcomes and resource utilization associated with this complication we analyzed the national inpatient sample for <num>–<num>.,journal=Journal of Clinical Oncology; type=Breast Cancer; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.822,0.917,0.721,0.92,background=0.909; conclusions=0.923; methods=0.946; results=0.908,percent: 97.8% -> 48.6%; number: 2017 | 2022 | 10 | 184 -> 2018 | 2022 | 10 | 236,0.91,1.0,3,"Shared Section candidate; masked=0.917, original=0.822, ngram=0.721, weighted_sections=0.920, median_cluster_similarity=0.910, edge_density=1.000.",,Inpatient outcomes associated with heart failure among adults hospitalized with breast cancer.,Journal of Clinical Oncology,2026,Breast Cancer
TPL-0002,4,synT006,synT006.xml,synT005 | synT007 | synT008,0.923,candidate,we examined inpatient outcomes and resource utilization associated with this complication we analyzed the national inpatient sample for <num>–<num>.,journal=Journal of Clinical Oncology; type=Lung Cancer; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.822,0.917,0.721,0.92,background=0.909; conclusions=0.923; methods=0.946; results=0.908,percent: 48.6% -> 97.8%; number: 2018 | 2022 | 10 | 236 -> 2017 | 2022 | 10 | 184,0.91,1.0,3,"Shared Section candidate; masked=0.917, original=0.822, ngram=0.721, weighted_sections=0.920, median_cluster_similarity=0.910, edge_density=1.000.",,Inpatient outcomes associated with atrial fibrillation among adults hospitalized with lung cancer.,Journal of Clinical Oncology,2026,Lung Cancer
TPL-0002,4,synT007,synT007.xml,synT005 | synT006 | synT008,0.911,candidate,we examined inpatient outcomes and resource utilization associated with this complication we analyzed the national inpatient sample for <num>–<num>.,journal=Journal of Clinical Oncology; type=Gastrointestinal Cancer—Colorectal; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.798,0.892,0.687,0.893,background=0.896; conclusions=0.911; methods=0.938; results=0.857,percent: 49.3% -> 97.8%; number: 2016 | 2021 | 10 | 142 -> 2017 | 2022 | 10 | 184,0.91,1.0,3,"Shared Section candidate; masked=0.892, original=0.798, ngram=0.687, weighted_sections=0.893, median_cluster_similarity=0.910, edge_density=1.000.",,Inpatient outcomes associated with acute kidney injury among adults hospitalized with colorectal cancer.,Journal of Clinical Oncology,2026,Gastrointestinal Cancer—Colorectal
TPL-0002,4,synT008,synT008.xml,synT005 | synT006 | synT007,0.909,candidate,we examined inpatient outcomes and resource utilization associated with this complication we analyzed the national inpatient sample for <num>–<num>.,journal=Journal of Clinical Oncology; type=Hematologic Malignancies—Lymphoma; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.813,0.904,0.717,0.907,background=0.892; conclusions=0.909; methods=0.937; results=0.895,percent: 45.1% -> 97.8%; number: 2017 | 2022 | 10 | 119 -> 2017 | 2022 | 10 | 184,0.91,1.0,3,"Shared Section candidate; masked=0.904, original=0.813, ngram=0.717, weighted_sections=0.907, median_cluster_similarity=0.910, edge_density=1.000.",,Inpatient outcomes associated with venous thromboembolism among adults hospitalized with lymphoma.,Journal of Clinical Oncology,2026,Hematologic Malignancies—Lymphoma
TPL-0003,4,synT009,synT009.xml,synT010 | synT011 | synT012,0.948,candidate,"analytical sensitivity, specificity, precision, reproducibility, reportable range, and limit of detection were evaluated with reference materials, contrived specimens, and residual clinical samples.",journal=Journal of Clinical Oncology; type=Breast Cancer; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.789,0.837,0.675,0.858,background=0.795; conclusions=0.788; methods=0.811; results=0.948,percent: 0.20% | 98.5% | 99.4% | 6.2% -> 0.25% | 97.1% | 99.1% | 7.4%; gene: ESR1 | ESR1 | ESR1 -> none; number: 12 | 8 | 0.20 | 98.5 -> 18 | 10 | 0.25 | 97.1,0.932,1.0,3,"Shared Section candidate; masked=0.837, original=0.789, ngram=0.675, weighted_sections=0.858, median_cluster_similarity=0.932, edge_density=1.000.",,Analytical validation of a multiplex digital PCR assay for ESR1 mutations in advanced breast cancer.,Journal of Clinical Oncology,2026,Breast Cancer
TPL-0003,4,synT010,synT010.xml,synT009 | synT011 | synT012,0.948,candidate,"analytical sensitivity, specificity, precision, reproducibility, reportable range, and limit of detection were evaluated with reference materials, contrived specimens, and residual clinical samples.",journal=Journal of Clinical Oncology; type=Lung Cancer; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.789,0.837,0.675,0.858,background=0.795; conclusions=0.788; methods=0.811; results=0.948,percent: 0.25% | 97.1% | 99.1% | 7.4% -> 0.20% | 98.5% | 99.4% | 6.2%; gene: none -> ESR1 | ESR1 | ESR1; number: 18 | 10 | 0.25 | 97.1 -> 12 | 8 | 0.20 | 98.5,0.932,1.0,3,"Shared Section candidate; masked=0.837, original=0.789, ngram=0.675, weighted_sections=0.858, median_cluster_similarity=0.932, edge_density=1.000.",,Analytical validation of a targeted ctDNA assay for EGFR resistance mutations in non-small cell lung cancer.,Journal of Clinical Oncology,2026,Lung Cancer
