csv_line,record_id,title,filter_rule,abstract_text
91,41209.0,"Schizandrin A inhibits proliferation, migration and invasion of thyroid cancer cell line TPC-1 by down regulation of microRNA-429",article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM-229008."
92,41208.0,"MicroRNA-146-5p promotes proliferation, migration and invasion in lung cancer cells by targeting claudin-12",article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM-229009."
93,41207.0,Knockdown of lncRNA CCAT2 inhibits endometrial cancer cells growth and metastasis via sponging miR-216b,article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM-229010."
99,40205.0,Tim-4 promotes the growth of colorectal cancer by activating angiogenesis and recruiting tumor-associated macrophages via the PI3K/AKT/mTOR signaling pathway,article_retracted,"This article has been retracted: please see Elsevier Policy on Article Withdrawal (http://www.elsevier.com/locate/withdrawalpolicy). This article has been retracted at the request of the authors. After publication, the authors noted unreliable data in the experimental validations. Specifically, representative images of IHC staining for CD31 and α-SMA in CT26-Vector and CT26-Tim-4 tumors in Fig. 2C and the expression of MMP9, VEGF and LOX in CT26-Tim-4 and CT26-Vector tumors was assessed by immunohistochemistry in Fig. 2E; incorrect photos were provided due to file placement confusion. All authors “agree with this retraction and deeply regret these errors and apologize to the editorial board and readers for any inconvenience caused.” Additionally, after publication, the journal was made aware of comments in relation to this article (https://pubpeer.com/publications/D191AE022DDD7B810564039CB16395). The authors have not responded to the journal request to respond to these comments."
100,40198.0,Long non-coding RNA LINC00160 functions as a decoy of microRNA-132 to mediate autophagy and drug resistance in hepatocellular carcinoma via inhibition of PIK3R3,article_retracted,"This article has been retracted: please see Elsevier Policy on Article Withdrawal (http://www.elsevier.com/locate/withdrawalpolicy). This article has been retracted at the request of the authors. Following the publication of the above article, the authors found that “LINC00160 did not affect Atg5 and P65 protein expression in HCC cells, which was inconsistent with the result of this paper. Furthermore, we apologize to the readership of the Journal for any inconvenience caused.” Additionally, after publication, the journal was made aware of comments in relation to this article (https://pubpeer.com/publications/333AE65483683ADF50A723BE34AD62). The authors have not responded to our request to respond to these comments."
103,39502.0,MicroRNA-152 inhibits tumor cell growth while inducing apoptosis via the transcriptional repression of cathepsin L in gastrointestinal stromal tumor,article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM229005."
104,39501.0,Long non-coding RNA HULC promotes bladder cancer cells proliferation but inhibits apoptosis via regulation of ZIC2 and PI3K/AKT signaling pathway,article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM229006."
105,39495.0,MicroRNA-1246 inhibits cell invasion and epithelial mesenchymal transition process by targeting CXCR4 in lung cancer cells,article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM229007."
118,37672.0,miR-199a-5p suppresses epithelial- mesenchymal-transition in anaplastic thyroid carcinoma cells via targeting Snail signals,article_retracted,"This article has been retracted, and the online PDF has been watermarked ``RETRACTION''. The retraction notice is available at http://doi.org/10.3233/CBM219902."
124,35486.0,MicroRNA-185 inhibits cell proliferation while promoting apoptosis and autophagy through negative regulation of TGF-β1/mTOR axis and HOXC6 in nasopharyngeal carcinoma,article_retracted,"This article has been retracted, and the online PDF replaced with this retraction notice. doi: 10.3233/CBM-220951"
