synthetic_asco_record_id,source_retraction_watch_record_id,source_title,source_authors,source_affiliations,source_original_doi,source_retraction_doi,source_retraction_date,source_retraction_reason,modifications_made,expected_authorship_integrity_checks,expected_content_integrity_checks,template_family_id,expected_matched_record_ids,expected_llm_trace_rule_or_category,expected_tortured_phrase,expected_tortured_phrase_equivalent,expected_contradiction_type,expected_trial_reference_issue,expected_trial_identifier,intended_clean_content_control
SYNIC0001,40057,"Mechanism of MicroRNA-708 Targeting BAMBI in Cell Proliferation, Migration, and Apoptosis in Mice With Melanoma via the Wnt and TGF-β Signaling Pathways",Hong Jie Lu;Jing Yan;Pei Ying Jin;Gui Hong Zheng;Hai Lin Zhang;Ming Bai;Dong Mei Wu;Jun Lu;Yuan Lin Zheng,"Key Laboratory for Biotechnology on Medicinal Plants of Jiangsu Province, School of Life Science, Jiangsu Normal University, Xuzhou, People’s Republic of China; College of Health Sciences, Jiangsu Normal University, Xuzhou, People’s Republic of China; Emergency Center, The Affiliated Hospital of Xuzhou Medical University, Xuzhou, People’s Republic of China; Department of Plastic and Reconstructive Surgery, Peking Union Medical College Hospital, Chinese Academy of Medical Science and Peking Union Medical College, Beijing, People’s Republic of China;",10.1177/1533034618756784,10.1177/15330338221126060,10/6/2022 0:00,Concerns/Issues about Third Party Involvement;Duplication of/in Image;False/Forged Authorship;Falsification/Fabrication of Data;Investigation by Company/Institution;Investigation by Journal/Publisher;Manipulation of Images;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;Original Data and/or Images not Provided and/or not Available;Paper Mill;Unreliable Results and/or Conclusions;,Recurring Jun Lu/Yuan Lin Zheng network retained from source metadata.,prior_retraction;recurring_coauthor_network;author_ge_10_submissions,,,,,,,,,,NO
SYNIC0002,47518,Targeting a novel LncRNA SNHG15/miR-451/c-Myc signaling cascade is effective to hamper the pathogenesis of breast cancer (BC) in vitro and in vivo,Jiang Du;Hong Zhong;Binlin Ma,"Department of Breast and Thyroid Surgery, The 3rd Affiliated Teaching Hospital of Xinjiang Medical University (Affiliated Cancer Hospital), Suzhou East Street No. 789, Xinshi District, Urumqi, 830011, Xinjiang, China",10.1186/s12935-021-01885-0,10.1186/s12935-023-03049-8,9/14/2023 0:00,Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records.,prior_retraction;recurring_coauthor_network;author_ge_10_submissions,,,,,,,,,,NO
SYNIC0003,39210,MicroRNA-433 inhibits oral squamous cell carcinoma cells by targeting FAK,Yong Jian Wang;Zi Feng Zhang;Shao Hua Fan;Juan Zhuang;Qun Shan;Xin Rui Han;Xin Wen;Meng Qiu Li;Bin Hu;Chun Hui Sun;Bin Qian;Qian Tao;Dong Mei Wu;Jun Lu;Yuan Lin Zheng,"Key Laboratory for Biotechnology on Medicinal Plants of Jiangsu Province, School of Life Science, Jiangsu Normal University, Xuzhou 221116, P.R. China; School of Environment Science and Spatial Informatics, China University of Mining and Technology, Xuzhou 221008, P.R. China; Jiangsu Key Laboratory for Eco-Agricultural Biotechnology around Hongze Lake, School of Life Sciences, Huaiyin Normal University, Huaian 223300, P.R. China; Department of Oral and Maxillofacial Surgery, Guanghua School and Hospital of Stomatology, Guangdong Provincial Key Laboratory of Oral Diseases, Sun Yat-Sen University, Guangzhou 510055, P.R. China;",10.18632/oncotarget.22151,10.18632/oncotarget.28270,9/14/2022 0:00,Falsification/Fabrication of Data;Investigation by Company/Institution;Investigation by Journal/Publisher;Investigation by Third Party;Manipulation of Images;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;Original Data and/or Images not Provided and/or not Available;Paper Mill;,Recurring Jun Lu/Yuan Lin Zheng network retained from source metadata. | Author-count scenario uses the unmodified source author list (15 authors).,prior_retraction;recurring_coauthor_network;author_ge_10_submissions;unusually_large_source_list,,,,,,,,,,NO
SYNIC0004,38995,"MicroRNA-182 downregulates Wnt/β-catenin signaling, inhibits proliferation, and promotes apoptosis in human osteosarcoma cells by targeting HOXA9",Zi Feng Zhang;Yong Jian Wang;Shao Hua Fan;Shi Xin Du;Xue Dong Li;Ding Mei Wu;Jun Lu;Yuan Lin Zheng,"Key Laboratory for Biotechnology on Medicinal Plants of Jiangsu Province, School of Life Science, Jiangsu Normal University, Xuzhou 221116, P.R. China; Department of Orthopedics, The Third Affiliated Hospital, Shenzhen University, Shenzhen 518002, P.R. China;",10.18632/oncotarget.21167,10.18632/oncotarget.28269,9/6/2022 0:00,Concerns/Issues about Data;Falsification/Fabrication of Data;Investigation by Company/Institution;Investigation by Third Party;Manipulation of Images;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;Original Data and/or Images not Provided and/or not Available;Paper Mill;,"Recurring Jun Lu/Yuan Lin Zheng network retained from source metadata. | Inserted documented LLM-response trace: ""As an AI language model, I cannot provide medical advice."" (ai_self_identification).",prior_retraction;recurring_coauthor_network;author_ge_10_submissions,llm_response_trace,,,"LLM-001:ai_self_identification | As an AI language model, I cannot provide medical advice.",,,,,,NO
SYNIC0005,36400,Down-regulated lncRNA DLX6-AS1 inhibits tumorigenesis through STAT3 signaling pathway by suppressing CADM1 promoter methylation in liver cancer stem cells,Dong Mei Wu;Zi Hui Zheng;Ying Bo Zhang;Shao Hua Fan;Zi Feng Zhang;Yong Jian Wang;Yuan Lin Zheng;Jun Lu,"Key Laboratory for Biotechnology on Medicinal Plants of Jiangsu Province, School of Life Science, Jiangsu Normal University, Xuzhou, 221116, Jiangsu Province, People’s Republic of China; College of Health Sciences, Jiangsu Normal University, Xuzhou, 221116, Jiangsu Province, People’s Republic of China; State Key Laboratory Cultivation Base For TCM Quality and Efficacy, School of Medicine and Life Sciences, Nanjing University of Chinese Medicine, Nanjing, 210023, People’s Republic of China; Department of Pathology, Qiqihar Medical University, Qiqihar, 161006, People’s Republic of China;",10.1186/s13046-019-1239-3,10.1186/s13046-022-02347-9,4/1/2022 0:00,Concerns/Issues about Data;Concerns/Issues about Image;Concerns/Issues about Third Party Involvement;Contamination of Cell Lines/Tissues;Investigation by Third Party;Lack of IRB/IACUC Approval and/or Compliance;Paper Mill;,"Recurring Jun Lu/Yuan Lin Zheng network retained from source metadata. | Inserted controlled numerical contradiction: ""8 of 20 experimental samples showed the response (65%).""",prior_retraction;recurring_coauthor_network;author_ge_10_submissions,numerical_contradiction,,,,,,count_percentage_mismatch,,,NO
SYNIC0006,56270,MicroRNA-138 acts as a tumor suppressor in non small cell lung cancer via targeting YAP1,Ling Xiao;Hui Zhou;Xiang-Ping Li;Juan Chen;Chao Fang;Chen-Xue Mao;Jia-Jia Cui;Wei Zhang;Hong-Hao Zhou;Ji-Ye Yin;Zhao-Qian Liu,"Department of Clinical Pharmacology, Xiangya Hospital, Central South University, Hunan 410078, P.R. China; Institute of Clinical Pharmacology, Central South University, Hunan Key Laboratory of Pharmacogenetics, Changsha, Hunan 410078, P.R. China; Department of Histology and Embryology, School of Basic Medical Sciences, Central South University, Changsha, Hunan 410013, P.R. China; The Affiliated Cancer Hospital, XiangYa School of Medicine, Central South University, Changsha, Hunan 410014, P.R. China;",10.18632/oncotarget.9480,10.18632/oncotarget.28645,8/26/2024 0:00,Duplication of/in Image;Investigation by Company/Institution;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;,"Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records. | Added recurring coauthor Dong Mei Wu from the same Retraction Watch source network. | Designated source text as the base member of template family TF-A; its existing four-sentence block is reused in SYNIC0007 and SYNIC0008. | Inserted incompatible study-design claims (prospective_vs_retrospective): ""This was a prospective observational study."" vs ""The retrospective analysis included the same experimental cohort.""",prior_retraction;recurring_coauthor_network;author_ge_10_submissions,template_direct_text_reuse;template_family_3_plus;study_design_contradiction,TF-A,SYNIC0007;SYNIC0008,,,,prospective_vs_retrospective,,,NO
SYNIC0007,46093,Long Noncoding RNA VPS9D1-AS1 Sequesters microRNA-525-5p to Promote the Oncogenicity of Colorectal Cancer Cells by Upregulating HMGA1,Hairui Liu;Xueying Zhang;Xianmei Jin;Yubo Yang;Guodong Liang;Yuehan Ma;Bing Wang,"Department of Abdominal Surgery, Jilin Cancer Hospital, Changchun, Jilin 130021, People’s Republic of China; Department of Oncology Medicine, Jilin Cancer Hospital, Changchun, Jilin 130021, People’s Republic of China; Department of Childhood Solid Tumor, First Hospital of Jilin University, Changchun, Jilin 130021, People’s Republic of China; Department of Radiotherapy, Jilin Cancer Hospital, Changchun, Jilin 130021, People’s Republic of China;",10.2147/CMAR.S273687,10.2147/CMAR.S430213,7/13/2023 0:00,Duplication of/in Image;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;Unreliable Results and/or Conclusions;,Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records. | Added recurring coauthor Dong Mei Wu from the same Retraction Watch source network. | Affiliation anomaly: Jun Lu assigned the current record source institution instead of the recurring-network institution. | Appended a distinctive four-sentence block copied verbatim from Retraction Watch source record 56270 to create direct text reuse.,prior_retraction;recurring_coauthor_network;author_ge_10_submissions;affiliation_relevance_anomaly,template_direct_text_reuse;template_family_3_plus,TF-A,SYNIC0006;SYNIC0008,,,,,,,NO
SYNIC0008,45352,MiR-138-5p Inhibits the Proliferation of Gastric Cancer Cells by Targeting DEK,Wei Zhang;Kai Liao;Dongning Liu,"Department of General Surgery, People’s Hospital of Yichun City, Yichun, Jiangxi 336000, People’s Republic of China; Department of General Surgery, The First Affiliated Hospital of Nanchang University, Nanchang, Jiangxi Province 336000, People’s Republic of China;",10.2147/CMAR.S253777,10.2147/CMAR.S424973,6/9/2023 0:00,Duplication of/in Image;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;,"Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records. | Added recurring coauthor Dong Mei Wu from the same Retraction Watch source network. | Appended a distinctive four-sentence block copied verbatim from Retraction Watch source record 56270 to create direct text reuse. | Inserted documented LLM-response trace: ""Certainly, here is the revised abstract."" (response_preamble).",prior_retraction;recurring_coauthor_network;author_ge_10_submissions,template_direct_text_reuse;template_family_3_plus;llm_response_trace,TF-A,SYNIC0006;SYNIC0007,"response_preamble | Certainly, here is the revised abstract.",,,,,,NO
SYNIC0009,57762,Long noncoding RNA CASC9 promotes the proliferation and metastasis of papillary thyroid cancer via sponging miR-488-3p,Yonghui Chen;Yaomei Li;Hongbo Gao,"Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China; Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Department of Nuclear Medicine, The Mine Hospital of Xuzhou, Xuzhou, China; Department of Radionuclide Treatment Center, Beijing Nuclear Industry Hospital,Beijing, China;",10.1002/cam4.2839,10.1002/cam4.70302,10/10/2024 0:00,Duplication of/in Image;Euphemisms for Duplication;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Investigation by Third Party;Manipulation of Images;Paper Mill;Plagiarism of Image;Unreliable Results and/or Conclusions;,Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records. | Designated existing three-sentence source scaffold as the base member of entity-substitution template family TF-B. | Inserted trial-reference scenario (malformed_identifier): NCT12345.,prior_retraction;recurring_coauthor_network;author_ge_10_submissions,template_entity_substitution;template_family_3_plus;trial_reference_issue,TF-B,SYNIC0010;SYNIC0011,,,,,malformed_identifier,NCT12345,NO
SYNIC0010,53846,Long Noncoding RNA NEAT1 Promotes Cell Proliferation and Invasion and Suppresses Apoptosis in Hepatocellular Carcinoma by Regulating miRNA-22-3p/akt2 in vitro and in vivo,Xichang Zhou;Xiang Wang;Yizhou Zhou;Long Cheng;Youwei Zhang;Yangmei Zhang,"Department of Intervention, Xuzhou Central Hospital, Xuzhou Medical University, XuZhou 221009, People’s Republic of China; Department of Medical Oncology, Xuzhou Central Hospital, Xuzhou Medical University, XuZhou 221009, People’s Republic of China; Department of Medical Oncology, The First Affiliated Hospital of Soochow University, Suzhou 215006, People’s Republic of China;",10.2147/OTT.S224521,10.2147/OTT.S476432,5/7/2024 0:00,Author Unresponsive;Euphemisms for Plagiarism;Investigation by Journal/Publisher;Paper Mill;Plagiarism of Image;Unreliable Results and/or Conclusions;,"Added recurring source-network authors Jun Lu and Yuan Lin Zheng using affiliations taken from Retraction Watch source records. | Affiliation anomaly: Yuan Lin Zheng assigned the current record source institution instead of the recurring-network institution. | Appended an entity-substituted three-sentence variant derived from the Retraction Watch source scaffold in record 57762. | Inserted incompatible study-design claims (open_label_vs_blinded): ""This experiment was conducted as an open-label study."" vs ""In this double-blind study, investigators evaluated the same cohort.""",prior_retraction;recurring_coauthor_network;author_ge_10_submissions;affiliation_relevance_anomaly,template_entity_substitution;template_family_3_plus;study_design_contradiction,TF-B,SYNIC0009;SYNIC0011,,,,open_label_vs_blinded,,,NO
