template_cluster_id,cluster_size,record_id,source_file,similar_record_ids,similarity_score,cluster_severity,shared_skeleton_excerpt,metadata_context,template_pattern_type,original_text_similarity,masked_skeleton_similarity,ngram_similarity,weighted_section_similarity,section_similarities,variable_substitutions,cluster_cohesion,cluster_edge_density,supporting_connections,review_explanation,exclusion_reason,title,journal,publication_year,article_type
TPL-0001,7,rw37672,rw37672.xml,rw39495 | rw39501 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2020; authors=12; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM219902 -> CBM229007,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,miR-199a-5p suppresses epithelial- mesenchymal-transition in anaplastic thyroid carcinoma cells via targeting Snail signals,Journal of Clinical Oncology,2020,Biochemistry
TPL-0001,7,rw39495,rw39495.xml,rw37672 | rw39501 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229007 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,MicroRNA-1246 inhibits cell invasion and epithelial mesenchymal transition process by targeting CXCR4 in lung cancer cells,Journal of Clinical Oncology,2018,Biology - Cancer
TPL-0001,7,rw39501,rw39501.xml,rw37672 | rw39495 | rw39502 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2017; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229006 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,Long non-coding RNA HULC promotes bladder cancer cells proliferation but inhibits apoptosis via regulation of ZIC2 and PI3K/AKT signaling pathway,Journal of Clinical Oncology,2017,Biology - Cancer
TPL-0001,7,rw39502,rw39502.xml,rw37672 | rw39495 | rw39501 | rw41207 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=8; affiliations=1; schema=article,masked_near_duplicate,0.923,0.952,0.941,0.0,,gene: CBM229005 -> CBM219902,0.952,1.0,6,"Masked Near Duplicate candidate; masked=0.952, original=0.923, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,MicroRNA-152 inhibits tumor cell growth while inducing apoptosis via the transcriptional repression of cathepsin L in gastrointestinal stromal tumor,Journal of Clinical Oncology,2018,Biology - Cancer
TPL-0001,7,rw41207,rw41207.xml,rw37672 | rw39495 | rw39501 | rw39502 | rw41208 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2017; authors=5; affiliations=1; schema=article,entity_value_substitution,0.906,0.952,0.941,0.0,,gene: CBM-229010 -> CBM219902; number: 10.3233 | 229010 -> 10.3233,0.952,1.0,6,"Entity Value Substitution candidate; masked=0.952, original=0.906, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,Knockdown of lncRNA CCAT2 inhibits endometrial cancer cells growth and metastasis via sponging miR-216b,Journal of Clinical Oncology,2017,Biology - Cancer
TPL-0001,7,rw41208,rw41208.xml,rw37672 | rw39495 | rw39501 | rw39502 | rw41207 | rw41209,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2019; authors=6; affiliations=1; schema=article,entity_value_substitution,0.906,0.952,0.941,0.0,,gene: CBM-229009 -> CBM219902; number: 10.3233 | 229009 -> 10.3233,0.952,1.0,6,"Entity Value Substitution candidate; masked=0.952, original=0.906, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,"MicroRNA-146-5p promotes proliferation, migration and invasion in lung cancer cells by targeting claudin-12",Journal of Clinical Oncology,2019,Biology - Cancer
TPL-0001,7,rw41209,rw41209.xml,rw37672 | rw39495 | rw39501 | rw39502 | rw41207 | rw41208,0.952,candidate,the retraction notice is available at <url>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2019; authors=4; affiliations=1; schema=article,entity_value_substitution,0.906,0.952,0.941,0.0,,gene: CBM-229008 -> CBM219902; number: 10.3233 | 229008 -> 10.3233,0.952,1.0,6,"Entity Value Substitution candidate; masked=0.952, original=0.906, ngram=0.941, weighted_sections=0.000, median_cluster_similarity=0.952, edge_density=1.000.",,"Schizandrin A inhibits proliferation, migration and invasion of thyroid cancer cell line TPC-1 by down regulation of microRNA-429",Journal of Clinical Oncology,2019,Biochemistry
TPL-0002,4,rw24026,rw24026.xml,rw24065 | rw35051 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",,The targeted regulation of Gli1 by miR-361 to inhibit epithelia-mesenchymal transition and invasion of esophageal carcinoma cells,Journal of Clinical Oncology,2018,Biology - Cancer
TPL-0002,4,rw24065,rw24065.xml,rw24026 | rw35051 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biochemistry; year=2017; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",,MicroRNA-937 inhibits cell proliferation and metastasis in gastric cancer cells by downregulating FOXL2,Journal of Clinical Oncology,2017,Biochemistry
TPL-0002,4,rw35051,rw35051.xml,rw24026 | rw24065 | rw35486,0.933,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=11; affiliations=1; schema=article,masked_near_duplicate,0.933,0.933,0.909,0.0,,,0.921,1.0,3,"Masked Near Duplicate candidate; masked=0.933, original=0.933, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",,Effects of exogenous IL-37 on the biological characteristics of human lung adenocarcinoma A549 cells and the chemotaxis of regulatory T cells,Journal of Clinical Oncology,2018,Biochemistry
