ID,Work Item,Category,Priority,Start With?,Status,Notes
1,Design reviewer-labelled ASCO evaluation baseline,Evaluation,High,Yes,Complete,Version 3 has 180 pair labels; excluding 2 manual-review labels: 84 TP 25 FP 0 FN 69 TN (77.1% precision 100% recall 87.0% F1)
2,Implement structured abstract ingestion and provenance,Foundation,High,Yes,Complete,Extract title/body/sections/authors/affiliations/trial IDs and offset-valid provenance from real ASCO XML
3,Build normalization and typed entity extraction,Foundation,High,Yes,Complete,Deterministic extractor passed structural checks and measured 69.1% precision 63.0% recall 65.9% F1 against 244 provided masked-reference abstracts; per-type metrics are exported
4,Create versioned reusable feature object,Foundation,High,Yes,Complete,Versioned JSONL feature objects preserve original normalized masked title/abstract/sections typed entities source hash and trial IDs
5,Add dedicated title-template comparison and masked-title signatures,Core detection,High,No,Complete,Retrieve exact masked signatures and conservative shared-trigram candidates then export original and masked title similarity without title-only classification
6,Implement candidate pair generation and route tracking,Core detection,High,No,Complete,Merge existing body candidates with title-template retrieval and retain every route per deduplicated pair in a CSV export
7,Improve pair-level detectors and direct evidence scoring,Core detection,High,No,Complete,Export auditable routed-pair evidence for exact body/Results reuse shared original blocks and title/body/section similarity; final weighting remains separate
8,Implement evidence scoring with primary/supporting/contextual tiers,Core detection,High,No,Complete,Primary evidence is required for a review score; Results/Conclusions receive stronger supporting weight and study context remains non-scoring
9,Extract structured same-study and companion-analysis context,Context,Medium,No,Complete,Export non-scoring trial/database/period/sample/population/treatment/endpoint/author context and conservative same-study or companion interpretations for every candidate pair
10,Build transparent pair classification rules,Core decision,Medium,No,Complete,Versioned reproducible rules classify primary-evidence pairs as template reuse/related duplicate/companion and keep pairs without primary evidence insufficient
11,Implement family clustering with suspicious edge rules,Core decision,Medium,No,Complete,Only template-reuse/related-duplicate pairs scoring at least 0.75 create edges; transitive-only members are marked as outliers against an evidence-weighted representative
12,Implement final scoring and editorial severity assignment,Output,Medium,No,Complete,Versioned 0.85/0.75/0.65 evidence bands set High/Medium/Low while companion context caps at Low and family size/context never raise priority
13,Create enriched pair/family/abstract reporting schema,Reporting,Medium,No,Complete,Versioned pair/family/abstract CSV schemas join routes evidence classes priorities context and family status; substitution detail remains Work Item 14
14,Add richer substitution reporting for matched entities,Reporting,Medium,No,Complete,Typed-entity export reports shared and side-specific values same-type likely substitutions and up to two source supporting sentences; it never changes pair class or priority
15,"Validate molecular-axis, assay-workflow, endpoint-bundle, semantic retrieval routes",Validation,Medium,No,Complete,"Report-only validation on 178 automatic gold labels: molecular axis rejected for incremental topic noise; assay and endpoint signals remain disabled; semantic embeddings deferred"
16,Defer optional research features until core pipeline is stable,Optional,Low,No,Not started,Stylometry, historical-family matching, gated LLM review, offline vocabulary discovery, reviewer summaries
