"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""surface region"" AND ""surface area""","surface area","46,990"
"""loss characteristic""","loss function","45,294"
"""grouping methods""","classification methods","33,725"
"""component extraction""","feature extraction","26,939"
"""information mining""","data mining","24,530"
"""malignant growth"" AND ""cancer""","cancer","22,527"
"""neural organization""","neural network","16,753"
"""bosom"" AND ""breast""","breast","14,650"
"""test arrangement""","test set","13,682"
"""feedback processing""","back propagation (BP)","13,210"
"""cadence design""","rythm pattern (?)","11,698"
"""brain organization"" AND ""neural network""","neural network","11,217"
"""business knowledge"" AND business intelligence","business intelligence (BI)","10,974"
"""image acknowledgment""","image recognition","10,973"
"""professional system""","expert system","10,514"
"""estimation coefficient""","approximation coefficient","9,969"
"""degree of displacement""","shift","9,486"
"""picture recognition""","image recognition","9,327"
"""limited rationality""","bounded rationality","9,215"
"""non straight""","nonlinear","9,035"
"""into the combination""","into (reaction) mixture","8,857"
"""huge information""","big data","8,655"
"""information foci""","data points","8,613"
"""illness conclusion""","disease diagnosis","8,278"
"""include choice""","feature selection","8,022"
"""outcomes likewise""","results similarity","7,569"
"""speculative design""","predicted structure","7,511"
"""layer yields"" AND ""neural network""","[neural network] layer outputs","7,123"
"""image acknowledgement""","image recognition","7,110"
"""magnetic cell separation"" NOT ""with MACS""","Magnetic-activated cell sorting (MACS)","6,429"
"""gatherings clustering""~10","clustering","6,382"
"""watchword"" AND ""keyword""","keyword","6,329"
"""atomic composition"" AND ""molecular structure""","molecular structure","6,292"
"""efficacious approach"" AND ""effective""","effective approach","6,284"
"""transfer sensor""","relay sensor","6,239"
"""selection making""","decision making","6,228"
"""K-closest neighbors""","K-nearest neighbors","6,197"
"""discourse knowledge""","speech data","6,173"
"""vital determinant""","significant predictor","6,167"
"""sound just""","audio-only","6,162"
"""creation innovations""","production technologies","6,108"
"""combined learning""","federated learning","6,025"
"""in the presence of N2""","under nitrogen","5,718"
"""data gain""","Information Gain (IG)","5,552"
"""market rivalry""","market competition","5,524"
"""discourse data""","speech data","5,513"
"""example acknowledgment""","pattern recognition","5,405"
"""feature choice""","feature selection","5,241"
"""objective language""","target language","5,214"
"""corvus corone"" NOT ""corvus corone module for a secured two way""","Crow search algorithm ?","5,207"
"""characteristic extraction"" AND ""feature extraction""","feature extraction","5,164"
"""device learning"" AND ""machine learning""","machine learning","5,007"
"""information picture""","input image","4,737"
"""profound learning"" AND ""deep learning""","deep learning","4,716"
"""resistant reaction""","immune reaction","4,708"
"""preparation information""","training data","4,636"
"""section transitions""","phase transitions","4,577"
"""message-just""","text-only","4,500"
"""wise structure""","intelligent system","4,491"
"""facial expression processing""","facial expression recognition (FER)","4,385"
"""energy effectiveness"" AND ""energy efficiency""","energy efficiency","4,381"
"""machine knowledge""","machine learning (in this context)","4,143"
"""supply chain control""","supply chain management (SCM)","4,120"
"""recognizable proof""","identification","3,968"
"""AI calculation""","machine learning algorithm","3,804"
"""heart ailments""","heart disease","3,781"
"""liver ailments""","liver disease","3,734"
"""test technique"" AND ""analysis method""","Analysis Method","3,612"
"""discourse highlights""","acoustic features","3,609"
"""distinguishing proof""","identification","3,482"
"""limited motivation""","finite impulse response","3,470"
"""surface highlights"" NOT specular","surface features","3,445"
"""machine interpretation""","machine translation","3,368"
"""google researcher""","Google Scholar","3,335"
"""cyclic neural network""","recurrent neural network","3,285"
"""preparation set""","training set","3,268"
"""programmed learning""","machine learning","3,177"
"""monetary development""","economic development/profit growth","3,171"
"""exactness accuracy""~5","accuracy","3,143"
"""preparing information""","training data","3,136"
"""DDoS assault""","Distributed denial-of-service (DDoS) attack","3,129"
"""Fourier transmission infrared""","Fourier transform infrared (FTIR)","3,066"
"""heat move""","heat transfer","3,046"
"""concealed layer""","hidden layer","3,025"
"""crown epidemic""","corona epidemic","3,014"
"""chief parts""","principal components","2,971"
"""recurrence range""","frequency range","2,959"
"""consideration system""","attention mechanism","2,940"
"""assignment rate""","class balance","2,910"
"""bunch size""","batch size","2,817"
"""genuine positive"" AND ""true positive""","true positive","2,790"
"""informational index""","dataset","2,786"
"""substantial metals""","heavy metals","2,698"
"""highlight extraction"" NOT specular","feature extraction","2,695"
"""education data"" AND ""training data""","training data","2,690"
"""areas and capacities""","domains and functions","2,672"
"""protein work"" AND ""protein function""","protein function","2,606"
"""abnormality identification""","anomaly detection","2,602"
"""info information""","input data","2,599"
"""include descriptor""","feature descriptor","2,587"
"""auxiliary design""","secondary structure","2,535"
"""heat movement""","heat transfer","2,505"
"""actual properties"" AND ""physical properties""","physical properties","2,493"
"""driving reason""","leading cause","2,434"
"""informational collection""","dataset","2,427"
"""cyber assault""","cyber attack","2,409"
"""speaker display""","speaker model","2,377"
"""hazard ratio (RR)""","relative risk (please note that the HR does exist)","2,349"
"""new crown"" AND coronavirus","new coronavirus","2,299"
"""PC vision""","computer vision","2,279"
"""ruinous"" AND ""acid""","acid","2,264"
"""utility lattice""","utility grid","2,240"
"""electrical gadget""","electronic device","2,234"
"""named information""","labeled data","2,232"
"""activation work""","activation function","2,200"
"""as pursues""","as follows","2,178"
"""reactive blend""","reaction mixture","2,176"
"""traffic design"" AND ""network""","traffic pattern","2,168"
"""delicate information""","sensitive information","2,146"
"""crude information""","raw data","2,136"
"""project memory""","system memory","2,125"
"""data and innovation""","\""information technology (IT)\""","2,113"
"""DoS assault""","denial-of-service (DoS) attack","2,086"
"""choice tree""","decision tree","2,025"
"""network safety"" AND ""network security""","network security","2,004"
"""neural associations""","neural networks","1,995"
"""creepy crawlies""","insect","1,992"
"""vital predictor""","significant predictor","1,980"
"""disappearing gradient problem""~5","vanishing gradient problem","1,974"
"""concealed state""","hidden state (in HMM)","1,951"
"""neuron yield""","neuron output","1,945"
"""kidney ailments""","kidney disease","1,939"
"""covered layer""","hidden layer","1,936"
"""preparation dataset""","training dataset","1,930"
"""kinematic consistency""","kinematic constant","1,908"
"""pre-handling""","preprocessing","1,881"
"""wavelet change""","wavelet transform","1,872"
"""face acknowledgment""","face recognition","1,857"
"""directed learning"" AND ""supervised learning""","supervised (machine) learning","1,796"
"""eye ailments""","eye disease","1,760"
"""net of things""","internet of things (IoT)","1,753"
"""recommender framework""","recommender system","1,745"
"""air fine""","air quality","1,742"
"""rigid portions""","crosslinking reagent (?)","1,729"
"""dimensionality decrease""","dimensionality reduction","1,719"
"""Navier-Stocks""","Navier-Stokes","1,711"
"""continuous neural network""","recurrent neural network","1,710"
"""binary grouping""","binary classification","1,693"
"""actually occur"" AND ""true positive""","true positive","1,671"
"""oblivious blind""~20","blind (visually impaired)","1,669"
"""image determination""","image resolution","1,636"
"""informative indexes""","datasets","1,631"
"""confrontation network""","adversarial network","1,611"
"""regulated learning"" AND ""supervised learning""","supervised learning","1,604"
"""data technology (IT)""","information technology","1,578"
"""oral tract""","vocal tract","1,566"
"""administered ML""","supervised machine learning","1,543"
"""discourse samples""","speech samples","1,536"
"""video acknowledgment""","video recognition","1,498"
"""education information"" AND ""training data""","training data","1,496"
"""pollution heaven""","pollution haven","1,489"
"""graphical portrayal""","graphical representation","1,486"
"""acquired qualities""","obtained values","1,485"
"""information estimating""","data monitoring","1,483"
"""preparation stage"" AND ""training stage""","training stage","1,468"
"""vitality utilization""","energy use","1,458"
"""observational examination""","observational study","1,421"
"""graphical investigation""","graphical analysis","1,421"
"""limit layer""","boundary layer","1,410"
"""fake bad""","false negative","1,406"
"""deep studying""","deep learning (DL)","1,403"
"""sound individuals""","healthy individuals","1,394"
"""Euclidean separation""","Euclidean distance","1,393"
"""antagonistic discourse""","hate speech","1,385"
"""protein spaces"" AND “protein domains""","entries describing protein domains","1,384"
"""point birth""","feature extraction","1,367"
"""rigid approaches""","fixed methods","1,365"
"""high-exactness""","high-resolution","1,359"
"""function extraction"" AND ""feature extraction""","feature extraction","1,357"
"""positive societies""","positive cultures","1,345"
"""quintile regression""","quantile regression","1,343"
"""as takes after""","as follows","1,331"
"""picture order""","image classification","1,331"
"""universal exchange""","global trade","1,327"
"""independent learning"" AND ""unsupervised learning""","unsupervised learning","1,303"
"""neural community"" AND ""neural network""","neural network","1,302"
"""fitness statistics""","health data","1,291"
"""coronary illness""","coronary artery disease","1,284"
"""picture division""","image segmentation","1,266"
"""transformer version"" AND ""model""","transformer model","1,264"
"""device studying""","machine learning (ML)","1,263"
"""nature of administration""","quality of service (QoS)","1,255"
"""shared data"" AND ""mutual information""","Mutual Information (MI)","1,247"
"""pre-preparing""","preprocessing","1,238"
"""abnormality recognition""","anomaly detection","1,219"
"""example arrangement""","pattern recognition","1,208"
"""noteworthy connection""","significant relationship","1,208"
"""simulated intelligence""","artificial intelligence","1,206"
"""man in the center""","man-in-the middle (attack)","1,206"
"""prophetic model""","predictive model","1,197"
"""component map"" AND ""CNN""","feature map","1,196"
"""Environmentally friendly power source""","renewable energy source (RES)","1,176"
"""computerized reasoning""","artificial intelligence","1,175"
"""face acknowledgement""","face recognition","1,175"
"""characterization relapse""~5","classification and regression","1,168"
"""malignancy finding""","tumor detection","1,148"
"""study database"" AND ""training dataset""","training dataset","1,147"
"""watch word""","key word","1,127"
"""jungle fever""","malaria","1,120"
"""region under the curve""","area under the curve (AUC)","1,119"
"""secret layer""","hidden layer","1,104"
"""resistant framework""","immune system","1,100"
"""text arrangement""","text classification","1,095"
"""optical stream""","optical flow","1,089"
"""deep mastering""","deep learning (DL)","1,084"
"""whitening equation""","bleaching kinetic","1,069"
"""Fourier change""","Fourier transform","1,060"
"""computer-based intelligence""","artificial intelligence (or possibly \""machine learning\"")","1,055"
"""recurring neural network""","recurrent neural network","1,051"
"""phishing assault""","phishing attack","1,046"
"""supply route"" AND artery","artery","1,043"
"""coronary conduit""","coronary artery","1,039"
"""machine learning calculations"" AND ""machine learning algorithms""","machine learning algorithms","1,033"
"""carbon discharge"" AND ""carbon emission""","carbon emission","1,031"
"""natural corruption""","environmental degradation","1,030"
"""content arrangement"" AND ""classification""","content classification","1,026"
"""picture preparing""","image processing","1,022"
"""voice highlights""","acoustic features","1,017"
"""discourse signal""","speech signal","1,016"
"""tremendous data"" AND ""big data""","big data","1,013"
"""backward probability"" NOT ""Markov""","posterior probability","1,007"
"""receiving wire""","antenna","1,003"
"""discourse acknowledgment""","voice recognition","1,000"
"""buried layer"" AND ""hidden layer""","hidden layer","998"
"""area unit"" AND ""square measure""","The word ‘are’ as in the conjugated verb ‘be’, see https://pubpeer.com/publications/57C388D664E1F25E918F2D2CE623D5#2","991"
"""completely created""","fully developed","990"
"""vigorous vitality""","robust growth","983"
"""pre-prepared"" AND ""pre-trained""","pre-trained","974"
"""persistent speech""","continuous speech","968"
"""acknowledgment framework""","recognition system","967"
"""down-examining""","downsampling","966"
"""profound layers""","deep layers","966"
"""information stockpiling""","data storage","954"
"""intermediate commodities""","intermediate goods","954"
