pair_id,abstract_id_a,abstract_id_b,pair_class,reviewed_verdict,review_confidence,recommended_pair_class,review_group,review_basis,review_rationale,primary_evidence,legitimate_study_context,suspicious_family,reviewer_notes,source_a,source_b
G001,31437,31217,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Multiple exact/near-exact Methods and Results sentences with molecular entities, cancer type, and cell lines swapped. Shared authorship does not explain the cross-disease abstract scaffold.","Exact Methods reuse: identical sentence “Cell proliferation was assessed by EdU staining,” near-identical flow-cytometry apoptosis wording, and parallel Western blot/result sentences.","Shared author Chunmei Wang; otherwise different institutions, cancer types, cell lines, and molecular targets. No shared trial, protocol, or dataset is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The ovarian PTCH1 and prostate miR-17 studies substitute PTCH1/GLI1/SKOV3-A2780 with miR-17/STAT3/LNCaP while retaining a distinctive Methods sequence and parallel proliferation/apoptosis conclusions. Exact Methods reuse is stronger than ordinary domain wording. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1089/cbr.2018.2626,10.1089/cbr.2017.2386
G002,33483,32214,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The full abstract progression is entity-swapped across Methods, Results, mechanism, and conclusion, with no legitimate shared study context.","Entity-swapped template: highly similar Methods, Results, and conclusion structure with miR-936/EOC/FGF2 substituted for miR-493/TSCC/HMGA2.","None: different authors, affiliations, diseases, targets, and no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] Both abstracts use the same progression: unclear role, RT-qPCR, proliferation/apoptosis/migration/invasion plus nude-mouse xenografts, bioinformatics/luciferase/RT-qPCR/Western blot, downregulation in tissues and cell lines, clinicopathologic correlation, tumor-suppressive phenotype, direct target, and therapeutic-axis conclusion. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S213231,10.2147/OTT.S210567
G003,40035,38555,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,Distinctive Background wording and repeated CD133/oncosphere/tumor-initiation language are reused while the lncRNA and pathway are substituted.,Shared distinctive section wording: near-identical liver tumor-initiating-cell Background and repeated CD133/oncosphere/tumor-initiation Methods language.,"None: the records share a liver tumor-initiating-cell topic and assay vocabulary, but have different authors and affiliations and no shared trial, protocol, cohort, or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The opening sentence about liver TIC self-renewal, tumor initiation, metastasis, and drug resistance is nearly identical. CD133/oncosphere enrichment and self-renewal assay descriptions are also closely reused, with lncMAPK6/MAPK6 substituted for linc00210/CTNNBIP1/Wnt-β-catenin. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s13046-018-0770-y,10.1186/s12943-018-0783-3
G004,43729,42013,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Distinctive Background and Methods sentences recur across unrelated drug-resistance studies, together with the same experimental sequence.",Shared distinctive Methods and Background wording: “Cell behavior can be modulated by long non-coding RNAs…” and “a series of in vitro assays and a xenograft tumor model…” are reused with substitutions.,"None: different authors, affiliations, cancer types, drugs, and mechanisms; no shared study identifier or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] Gefitinib-resistant ESCC/PART1 and trastuzumab-resistant breast cancer/AGAP2-AS1 follow the same narrative and experimental sequence. The repeated wording spans Background and Methods, not just a generic title. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s13046-018-0845-9,10.1186/s13046-018-0875-3
G005,46431,33488,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Sentence-level alignment spans the assay list, expression findings, knockdown phenotype, ceRNA mechanism, rescue, and in-vivo growth; this exceeds ordinary same-topic similarity.","Highly similar masked body structure with repeated breast-cancer Methods and Results wording: qRT-PCR, CCK-8, flow cytometry, Transwell, xenograft, knockdown phenotype, ceRNA mechanism, and rescue experiments.","Exact author-name overlap for Zhuo Wang and the same breast-cancer topic, but different affiliations and molecular axes; the source data do not independently establish that the name refers to the same person or study.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] LINC00504/miR-876-3p/HMGB3 is substituted for LINC00922/miR-424-5p/BDNF. The abstracts repeatedly align at sentence level, including overexpression in tissues/cell lines and knockdown effects on proliferation, migration, invasion, apoptosis, and in-vivo growth. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S276290,10.2147/CMAR.S267665
G006,46070,33488,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,Near-identical Methods/Results scaffold with disease and molecular-axis substitutions and no shared study context.,"Entity-swapped Methods/Results template: near-identical qRT-PCR, CCK-8, flow-cytometry, Transwell, xenograft, expression, knockdown, and in-vivo growth statements.","None: different authors, affiliations, diseases, and molecular axes; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] CCDC144NL-AS1/miR-490-3p/HMGA2 in osteosarcoma is substituted for LINC00922/miR-424-5p/BDNF in breast cancer. The repeated experimental order and outcome formula go beyond common oncology vocabulary. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S280912,10.2147/CMAR.S267665
G007,35223,31431,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,An exact in-vivo Methods sentence and parallel expression/knockdown/tumor-growth wording are reused across different diseases. This is textual reuse even if related authors or institutions were involved.,"Exact Methods reuse: “A nude mouse model was established to analyze the function of LINC00152 in vivo,” plus parallel qRT-PCR, expression, knockdown, and tumor-growth wording.","Same LINC00152 and Jilin University affiliation context, but different diseases and author lists; no shared cohort, protocol, or dataset is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] Retinoblastoma is substituted for oral squamous cell carcinoma while the role-assessment and in-vivo sentence are effectively reordered copies. Shared institution and target may explain related interest, but the direct wording supports template reuse rather than companion analysis. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S160428,10.2147/OTT.S168807
G008,32215,32214,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,Near-identical RT-qPCR wording and a matched expression-prognosis-target-silencing-rescue sequence show an entity-swapped template.,"Entity-swapped body structure with an almost identical RT-qPCR Methods sentence and parallel low-expression, prognosis, direct-target, target-silencing, and rescue Results sequence.","None: different authors, affiliations, diseases, miRNAs, and targets; no shared study identifier or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] miR-605/SOX9/GBM is substituted for miR-493/HMGA2/TSCC. The phrase “RT-qPCR was utilized for the determination of…” is nearly exact, and the target-silencing statements use the same functional logic. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S213026,10.2147/OTT.S210567
G009,32889,32823,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Exact qRT-PCR formula plus parallel reduced-expression, direct-target, phenotype-suppression, and rescue statements across unrelated studies.","Exact Methods formula plus highly similar masked Results: RT-qPCR determination of miRNA in tissues/cell lines, reduced expression, direct target, functional suppression, and rescue.","None: different authors, affiliations, cancers, miRNAs, and targets; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The exact qRT-PCR sentence substitutes miR-652/GBM for miR-769/CRC. The downstream FOXK1 versus CDK1 target and malignant-phenotype results follow the same abstract scaffold. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S204715,10.2147/OTT.S183847
G010,32888,32215,Possible template reuse,Probable template reuse,Medium,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The title and full Results/conclusion sequence are strongly parallel, but much of the language belongs to a common miRNA tumor-suppressor/PI3K-Akt study pattern and fewer exact spans are documented.","Repeated title formula and highly similar masked body structure: downregulated miRNA, poor prognosis, restored expression suppresses malignancy, direct target, rescue, and PI3K/Akt deactivation.","None: different authors, affiliations, diseases, miRNAs, and targets; no shared study identifier or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] miR-761/FGFR1/osteosarcoma is substituted for miR-605/SOX9/glioblastoma. Multiple Results and conclusion sentences align around the same PI3K/Akt mechanism, supporting more than headline similarity. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S208263,10.2147/OTT.S213026
